timestamp_utc,timestamp_epoch,temp_f,temp_c,device_id
2/7/2021 0:02,      1612656150,   63.3,   17.4, 2.70718E+15
2/7/2021 0:07,      1612656427,   63  ,   17.2, 2.58228E+15
2/7/2021 0:04,      1612656251,   69.8,   21  , 2.75309E+15
2/7/2021 0:04,      1612656291,   62.8,   17.1, 2.58228E+15
2/7/2021 0:02,      1612656156,   69.6,   20.9, 2.75309E+15
2/7/2021 0:06,      1612656395,   62.8,   17.1, 2.58228E+15
2/7/2021 0:00,      1612656016,   69.8,   21  , 2.75309E+15
2/7/2021 0:03,      1612656198,   69.6,   20.9, 2.75309E+15
2/7/2021 0:00,      1612656007,   63  ,   17.2, 2.70718E+15
2/7/2021 0:05,      1612656317,   70  ,   21.1, 2.75309E+15
2/7/2021 0:02,      1612656132,   69.6,   20.9, 2.75309E+15
2/7/2021 0:06,      1612656372,   62.8,   17.1, 2.58228E+15
2/7/2021 0:06,      1612656372,   63.7,   17.6, 2.70718E+15
2/7/2021 0:07,      1612656447,   70.2,   21.2, 2.75309E+15
2/7/2021 0:00,      1612656020,   62.2,   16.8, 2.58228E+15
2/7/2021 0:02,      1612656172,   69.6,   20.9, 2.75309E+15
2/7/2021 0:04,      1612656266,   62.8,   17.1, 2.58228E+15
2/7/2021 0:04,      1612656280,   62.8,   17.1, 2.58228E+15
2/7/2021 0:04,      1612656240,   69.8,   21  , 2.75309E+15
2/7/2021 0:05,      1612656311,   70  ,   21.1, 2.75309E+15
2/7/2021 0:03,      1612656196,   69.6,   20.9, 2.75309E+15
2/7/2021 0:07,      1612656434,   63.9,   17.7, 2.70718E+15
2/7/2021 0:06,      1612656409,   63.9,   17.7, 2.70718E+15
2/7/2021 0:02,      1612656166,   69.6,   20.9, 2.75309E+15
2/7/2021 0:04,      1612656274,   70  ,   21.1, 2.75309E+15
2/7/2021 0:04,      1612656284,   63.7,   17.6, 2.70718E+15
2/7/2021 0:07,      1612656444,   70.2,   21.2, 2.75309E+15
2/7/2021 0:01,      1612656083,   70  ,   21.1, 2.75309E+15
2/7/2021 0:05,      1612656333,   63.7,   17.6, 2.70718E+15
2/7/2021 0:05,      1612656345,   70  ,   21.1, 2.75309E+15
2/7/2021 0:04,      1612656274,   63.7,   17.6, 2.70718E+15
2/7/2021 0:03,      1612656201,   63.3,   17.4, 2.70718E+15
2/7/2021 0:03,      1612656214,   69.6,   20.9, 2.75309E+15
2/7/2021 0:04,      1612656277,   63.7,   17.6, 2.70718E+15
2/7/2021 0:00,      1612656050,   63.1,   17.3, 2.70718E+15
2/7/2021 0:03,      1612656225,   69.8,   21  , 2.75309E+15
2/7/2021 0:06,      1612656385,   63.9,   17.7, 2.70718E+15
2/7/2021 0:04,      1612656265,   62.8,   17.1, 2.58228E+15
2/7/2021 0:00,      1612656021,   70  ,   21.1, 2.75309E+15
2/7/2021 0:03,      1612656230,   69.8,   21  , 2.75309E+15
2/7/2021 0:01,      1612656061,   63.3,   17.4, 2.70718E+15
2/7/2021 0:06,      1612656403,   63  ,   17.2, 2.58228E+15
2/7/2021 0:01,      1612656079,   63.3,   17.4, 2.70718E+15
2/7/2021 0:07,      1612656431,   63.9,   17.7, 2.70718E+15
2/7/2021 0:01,      1612656060,   62.2,   16.8, 2.58228E+15
2/7/2021 0:05,      1612656339,   62.8,   17.1, 2.58228E+15
2/7/2021 0:05,      1612656332,   62.8,   17.1, 2.58228E+15
2/7/2021 0:05,      1612656316,   62.8,   17.1, 2.58228E+15
2/7/2021 0:01,      1612656115,   69.8,   21  , 2.75309E+15
2/7/2021 0:05,      1612656320,   70  ,   21.1, 2.75309E+15
2/7/2021 0:00,      1612656001,   70  ,   21.1, 2.75309E+15
2/7/2021 0:07,      1612656422,   62.8,   17.1, 2.58228E+15
2/7/2021 0:05,      1612656343,   70  ,   21.1, 2.75309E+15
2/7/2021 0:01,      1612656105,   69.8,   21  , 2.75309E+15
2/7/2021 0:03,      1612656231,   62.6,   17  , 2.58228E+15
2/7/2021 0:03,      1612656187,   63.3,   17.4, 2.70718E+15
2/7/2021 0:05,      1612656350,   63.7,   17.6, 2.70718E+15
2/7/2021 0:04,      1612656251,   62.6,   17  , 2.58228E+15
2/7/2021 0:05,      1612656319,   63.7,   17.6, 2.70718E+15
2/7/2021 0:03,      1612656187,   69.6,   20.9, 2.75309E+15
2/7/2021 0:03,      1612656204,   62.4,   16.9, 2.58228E+15
2/7/2021 0:00,      1612656027,   69.8,   21  , 2.75309E+15
2/7/2021 0:01,      1612656116,   63.3,   17.4, 2.70718E+15
2/7/2021 0:02,      1612656169,   69.6,   20.9, 2.75309E+15
2/7/2021 0:06,      1612656362,   62.8,   17.1, 2.58228E+15
